{{0,0,1000010,0,2000001,2000001,2000006,1000007,0,1000018},{0,2000007,2000007,2000018,2000018,0,2000006,0,2000010,1000018},{1000008,2000017,0,1000017,0,1000003,1000001,2000003,2000002,1000002},{2000013,2000013,2000008,1000006,1000006,0,0,0,2000012,2000012},{0,2000011,2000011,1000006,1000006,0,0,2000009,2000014,2000014},{0,2000011,2000011,0,1000015,1,2000015,2000009,1000016,1000016},{1000011,1000011,1000004,0,1000005,2000004,2000015,0,1000009,2000016},{0,0,1000004,0,2000020,0,0,0,1000012,0},{0,0,0,2000005,0,0,1000014,1000014,0,0},{1000013,0,2000019,0,1000019,0,1000014,1000014,0,0}};
//4780 depth: 20 traps: 0 toolong: 0 no.: 53 thread: 21

{{2000018,2000014,2000019,0,2000023,0,2000009,0,2000006,0},{0,0,2000002,0,2000024,2000024,0,2000005,2000005,0},{1000009,1000009,2000007,0,2000024,2000024,0,1000008,1000008,2000015},{2000011,2000011,1000012,1000012,0,0,2000010,1000010,0,0},{2000011,2000011,0,1000013,1000013,0,2000010,1000010,0,2000017},{2000013,2000004,1000007,1000013,1000013,1,1000003,2000022,2000012,1000004},{2000013,0,1000006,1000006,0,1000014,0,0,2000008,0},{2000021,0,0,0,0,2000001,0,0,0,0},{1000002,1000002,2000016,1000005,0,0,0,0,1000011,2000020},{0,1000001,2000016,0,2000003,2000003,0,0,1000011,2000020}};
//7414 depth: 22 traps: 0 toolong: 0 no.: 54 thread: 9

{{0,0,0,0,2000011,1000014,0,0,0,2000008},{1000019,0,1000005,0,0,2000006,0,0,2000007,2000007},{1000019,2000009,0,1000018,1000018,2000006,2000013,2000010,2000007,2000007},{2000002,0,1000012,1000012,1000017,0,0,0,0,1000013},{2000014,2000014,0,0,0,0,0,0,1000007,2000005},{2000012,2000012,0,0,1000009,1,1000002,1000002,1000007,0},{2000012,2000012,0,1000004,1000004,1,0,0,0,2000003},{0,0,0,1000004,1000004,2000015,2000015,1000008,0,2000003},{1000016,1000003,1000006,0,0,0,1000010,1000001,0,0},{0,1000003,2000004,0,2000001,1000011,0,0,1000015,1000015}};
//72570 depth: 15 traps: 0 toolong: 0 no.: 55 thread: 0

{{2000021,2000021,1000006,1000001,1000008,2000006,0,1000007,2000003,2000015},{2000009,0,0,0,2000010,1000010,2000017,2000008,0,2000015},{0,0,2000002,0,1000005,0,2000017,2000008,0,2000005},{0,0,0,1000011,1000011,0,0,2000012,0,2000005},{2000014,2000014,0,1000011,1000011,1000003,0,2000012,2000016,0},{2000014,2000014,0,2000025,0,1,0,0,2000016,0},{1000009,1000009,2000011,2000025,1000002,2000001,2000001,0,2000024,2000022},{2000023,0,2000011,2000020,0,0,1000004,2000004,0,2000022},{2000023,2000018,2000018,2000020,2000026,2000019,0,0,2000007,2000007},{0,2000018,2000018,0,0,2000019,2000013,2000013,2000007,2000007}};
